,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް (ސްކޫލުގެ އެކިއެކި ކަންކަމާ ގުޅޭ),,,,,,,
,ލީޑިންގ ޓީޗަރ: ޝީޓް  2- (އެކި އެކި ލީޑިން ޓީޗަރުންގެ ފަރާތުން ހޯދާ މަޢުލޫމާތުގެ މައްޗަށް ބިނާކޮށް ޓީމުން ގޮތް ނިންމުން),,,,,,,
IndicatorCode,Average,ބަލާނެ ލިޔެކިޔުން/Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
75,1,ހިއްސާކޮށްފައިވާ ކަމުގެ ހެކި/ ހަމަޖައްސައިފައިވާ ނިޒާމް/ހާޒިރީ /ޔައުމިއްޔާ ,3- ދަރިވަރުންނާއި މުދައްރިސުން އަދި ބެލެނިވެރިންނާ އުސޫލުތައް ހިއްސާކޮށްފައި ވޭ,ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ އުސޫލެއް ޤާއިމުކޮށްފައި ވުން ,2.1.1.3,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
88,1,އުސޫލު /ތާވަލު,1- ހަފްތާއަކު ޗެކްކުރާނެ ފޮތްސެޓުގެ އަދަދު ކަނޑައަޅައިފައި ވޭ ,ދަރިވަރުންގެ ފޮތްތައް ޗެކުކުރުން ,2.1.2.3,ކިޔަވައިދިނުމާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.2,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
91,1,ޗެކުކުރާކަމުގެ ހެކި,1- ވަރކްޝީޓް ފަދަ ތަކެތި ޗާޕްކުރުމުގެ ކުރިން ލީޑިން ޓީޗަރުން އެ ތަކެތި ޗެކްކުރޭ,ދަރިވަރުންނަށް ފޯރުކޮށްދޭ  ކޮންޓެންޓަކީ ދަރިވަރުންގެ އުމުރާ ގުޅޭ، އިސްލާމްދީނާއި ދިވެހި ސަގާފަތާ އެއްގޮތްވާ ކޮންޓެންޓެްތަކެއްކަން  ސްކްރީންކޮށް، ސްކޫލުން ކަށަވަރުކުރުން,2.1.2.4,ކިޔަވައިދިނުމާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.2,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
92,1,ލެސަން ޕްލޭން/ކޯޑިނޭޝަން ޔައުމިއްޔާ / ޑިޖިޓަލް ވަސީލަތް /ވޯރކްޝީޓް ފަދަ ތަކެތި ,2- ދަރިވަރުންނަށް ފޯރުކޮށްދޭ  ކޮންޓެންޓަކީ ދަރިވަރުންގެ އުމުރާ ގުޅޭ ކޮންޓެންޓެްތަކެއްކަން  ސްކޫލުން ކަށަވަރުކުރޭ,ދަރިވަރުންނަށް ފޯރުކޮށްދޭ  ކޮންޓެންޓަކީ ދަރިވަރުންގެ އުމުރާ ގުޅޭ، އިސްލާމްދީނާއި ދިވެހި ސަގާފަތާ އެއްގޮތްވާ ކޮންޓެންޓެްތަކެއްކަން   ސްކޫލުން ކަށަވަރުކުރުން,2.1.2.4,ކިޔަވައިދިނުމާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.2,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
93,1,ލެސަން ޕްލޭން/ކޯޑިނޭޝަން ޔައުމިއްޔާ / ޑިޖިޓަލް ވަސީލަތް /ވޯރކްޝީޓް ފަދަ ތަކެތި ,3- އުނގަންނައިދިނުމަށް ބޭނުންކުރާ ވަސީލަތްތަކަކީ އިސްލާމްދީނާއި ދިވެހި ސަގާފަތާ އެއްގޮތްވާ ވަސީލަތްތަކެއްކަން  ސްކޫލުން ކަށަވަރުކުރޭ,ދަރިވަރުންނަށް ފޯރުކޮށްދޭ  ކޮންޓެންޓަކީ ދަރިވަރުންގެ އުމުރާ ގުޅޭ، އިސްލާމްދީނާއި ދިވެހި ސަގާފަތާ އެއްގޮތްވާ ކޮންޓެންޓެްތަކެއްކަން  ސްކޫލުން ކަށަވަރުކުރުން,2.1.2.4,ކިޔަވައިދިނުމާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.2,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
94,1,ލެސަންޕްލޭނާ އެކު ހުށަހަޅާފައިވާ ރުބްރިކު / ވަޒަންކޮށްފައިވާ ކަމުގެ ހެކި ,1- އެސެސްމަންޓް ފޯ ލަރނިން ގެންދާއިރު، ރުބްރިކް ބޭނުންކުރަންޖެހޭ ހާލަތްތަކުގައި ރުބުރިކް ބޭނުންކޮށްގެން، ދަރިިވަރުން ވަޒަންކުރޭ,އެސެސްމަންޓް ފޯ ލަރނިން ކުރިއަށް ގެންދިއުން ,2.1.3.1,އެސެސްމަންޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.3,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
95,1,އެސެސްމެންޓް ރިކޯޑް ޝީޓް / ޗެކުލިސްޓު,2- އެސެސްމަންޓް ފޯ ލަރނިން ގެންދާއިރު، ދަރިވަރުންނަށް ޙާޞިލުވަމުންދާ މިންވަރު އެއް ޝީޓަކުން (ޗެކުލިސްޓަކުން) ފެންނާނެހެން ރެކޯޑުކުރޭ,އެސެސްމަންޓް ފޯ ލަރނިން ކުރިއަށް ގެންދިއުން ,2.1.3.1,އެސެސްމަންޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.3,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
96,1, ޔައުމިއްޔާ /ހާޒިރީ / ޕީޓީއެސްއަށް ތައްޔާރުކުރި އެސެސްމެންޓް ރިކޯޑް ޝީޓް ,3- ދަރިވަރުން ކުރިއަރަމުން އަންނަ މިންވަރު ބެލެނިވެރިންނާ ހިއްސާކުރޭ,އެސެސްމަންޓް ފޯ ލަރނިން ކުރިއަށް ގެންދިއުން ,2.1.3.1,އެސެސްމަންޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.3,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
97,1,ޓޭބަލް އޮފް ސްޕެސިފިކޭޝަން / ޓެސްޓް ޕޭޕަރު,1- ޓޭބަލް އޮފް ސްޕެސިފިކޭޝަނަށް ބިނާކޮށްގެން ޓެސްޓު ޕޭޕަރުތައް ތައްޔާރުކުރޭ,އެސެސްމަންޓް އޮފް ލަރނިން ކުރިއަށް ގެންދިއުން ,2.1.3.2,އެސެސްމަންޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.3,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
98,1,މާކިންގ ސްކީމްތައް,2- މާކިން ސްކީމް ބޭނުންކޮށްގެން ޓެސްޓު ޕޭޕަރުތައް މާކުކުރޭ,އެސެސްމަންޓް އޮފް ލަރނިން ކުރިއަށް ގެންދިއުން ,2.1.3.2,އެސެސްމަންޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,2.1.3,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
