 ,,,Lesson Plan (Key Stage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,LT - 1,,,,,LT - 2,,,,,LT - 3,,,,,LT - 4,,,,,LT - 5,,,,,LT - 6,,,,,LT - 7,,,,,LT - 8,,,,,LT - 9,,,,,LT - 10,,,,
IndicatorCode,Average,އައުޓްކަމް ނަމްބަރ,އައުޓްކަމް,އިންޑިކޭޓަރ,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5
131,,2.2.1.1,މަޢުލޫމާތާއި ހުނަރާއި ސިފަ ހިމަނައިގެން ލެސަން ޕްލޭންތައް ތައްޔާރުކުރުން,1- މަޢުލޫމާތު ފޯރުކޮށްދެވޭ ގޮތަށް ލެސަން ޕްލޭން ތައްޔާރުކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,2- ހުނަރުތައް ތަރައްޤީވާ ގޮތަށް ލެސަން ޕްލޭން ތައްޔާރުކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,3- ސިފަތައް އަށަގެންނެވޭ ގޮތަށް ލެސަން ޕްލޭން ތައްޔާރުކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,2.2.1.2,ލާރނިންގ އިންޓެންޝަނާއި ސަކްސެސް ކްރައިޓިރިއާ ހިމަނައިގެން ލެސަން ޕްލޭން ތައްޔާރުކުރުން,1- ލަރނިން އިންޓެންޝަން ޙާޞިލުވާ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭންގައި ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,2- ސަކްސެސް ކްރައިޓީރިއާގައިވާ ކަންކަން ޙާޞިލުވާ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭންގައި ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,3- ދަރިވަރުންނަށް ޙާޞިލުކުރެވޭ މިންވަރު ވަޒަންކުރެވޭ ގޮތަށް ސަކްސެސް ކްރައިޓީރިއާ އިބާރާތްކޮށްފައި ވޭ  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
