BD,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
470,2- ޙާސިލުކުރެވޭފަދަ ކޯކަރިކިއުލާ ލަނޑުދަނޑިތައް ކަނޑައަޅައިފައި ވޭ,އަހަރު ތެރޭގައި ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3.1,ދިރާސީ އަހަރު ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
471,3 - ޓާގެޓުތަކާއި މިންގަނޑުތައް ކަނޑައަޅައިފައި ވޭ,އަހަރު ތެރޭގައި ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3.1,ދިރާސީ އަހަރު ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
800,4- ހާސިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކުރޭ,އަހަރު ތެރޭގައި ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3.1,ދިރާސީ އަހަރު ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
801,5- ލަނޑުދަނޑިތައް ހާސިލުވަމުންދާ މިންވަރު ބަލައި ފިޔަވަޅުއަޅާ,އަހަރު ތެރޭގައި ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3.1,ދިރާސީ އަހަރު ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
472,1- މުދައްރިސުން އަހުލުވެރިކުރުވާ,ސިޤާފަށް އަހުލުވެރިކުރުން ,5.1.4.1,ސްކޫލް އިމްޕްރޫވްމަންޓް، ކޮލިޓީ އެޝުއަރަންސް އެންޑް އެކައުންޓަބިލިޓީ ފްރޭމްވާރކް (ސިގާފް) އާ އެއްގޮތަށް ސްކޫލް ސެލްފް އިވެލުއޭޝަން (އެސް އެސް އީ) ކުރިއަށް ގެންދިއުން,5.1.4,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
473,2- އެހެނިހެން މުވައްޒަފުން އަހުލުވެރިކުރުވާ,ސިޤާފަށް އަހުލުވެރިކުރުން ,5.1.4.1,ސްކޫލް އިމްޕްރޫވްމަންޓް، ކޮލިޓީ އެޝުއަރަންސް އެންޑް އެކައުންޓަބިލިޓީ ފްރޭމްވާރކް (ސިގާފް) އާ އެއްގޮތަށް ސްކޫލް ސެލްފް އިވެލުއޭޝަން (އެސް އެސް އީ) ކުރިއަށް ގެންދިއުން,5.1.4,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
474,3- ބެލެނިވެރިން އަހުލުވެރިކުރުވާ,ސިޤާފަށް އަހުލުވެރިކުރުން ,5.1.4.1,ސްކޫލް އިމްޕްރޫވްމަންޓް، ކޮލިޓީ އެޝުއަރަންސް އެންޑް އެކައުންޓަބިލިޓީ ފްރޭމްވާރކް (ސިގާފް) އާ އެއްގޮތަށް ސްކޫލް ސެލްފް އިވެލުއޭޝަން (އެސް އެސް އީ) ކުރިއަށް ގެންދިއުން,5.1.4,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
475,1- އެސް އެސް އީ ފެށުމުގެ ކުރިން އެކަމާ ގުޅޭ މަޢުލޫމާތު ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކުރޭ,އެސް އެސް އީ ކުރިއަށް ގެންދިއުން,5.1.4.2,ސްކޫލް އިމްޕްރޫވްމަންޓް، ކޮލިޓީ އެޝުއަރަންސް އެންޑް އެކައުންޓަބިލިޓީ ފްރޭމްވާރކް (ސިގާފް) އާ އެއްގޮތަށް ސްކޫލް ސެލްފް އިވެލުއޭޝަން (އެސް އެސް އީ) ކުރިއަށް ގެންދިއުން,5.1.4,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
476,2- ކަނޑައަޅައިފައިވާ މުއްދަތުގައި އެސް އެސް އީ ކުރިއަށް ގެންގޮސް، ރިޕޯޓު މިނިސްޓްރީގެ ކަމާ ގުޅޭ ފަރާތާ ހިއްސާކުރޭ,އެސް އެސް އީ ކުރިއަށް ގެންދިއުން,5.1.4.2,ސްކޫލް އިމްޕްރޫވްމަންޓް، ކޮލިޓީ އެޝުއަރަންސް އެންޑް އެކައުންޓަބިލިޓީ ފްރޭމްވާރކް (ސިގާފް) އާ އެއްގޮތަށް ސްކޫލް ސެލްފް އިވެލުއޭޝަން (އެސް އެސް އީ) ކުރިއަށް ގެންދިއުން,5.1.4,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
477,3- އެސް އެސް އީގެ ހޯދުންތައް، ގުޅުންހުރި ފަރާތްތަކާ ހިއްސާކުރޭ,އެސް އެސް އީ ކުރިއަށް ގެންދިއުން,5.1.4.2,ސްކޫލް އިމްޕްރޫވްމަންޓް، ކޮލިޓީ އެޝުއަރަންސް އެންޑް އެކައުންޓަބިލިޓީ ފްރޭމްވާރކް (ސިގާފް) އާ އެއްގޮތަށް ސްކޫލް ސެލްފް އިވެލުއޭޝަން (އެސް އެސް އީ) ކުރިއަށް ގެންދިއުން,5.1.4,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
478,1- އެސް އެސް އީ އިން ލިބުނު މަޢުލޫމާތުގެ މައްޗަށް ބިނާކޮށް ސިޕް ތައްޔާރުކުރޭ,ސިޕް ތައްޔާރުކުރުން,5.1.5.1,ސްކޫލް އިމްޕްރޫވްމަންޓް ޕްލޭން (ސިޕް) ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.5,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
479,2- ސިޕް ތައްޔާރުކުރުމުގައި އެންމެ ފަހުގެ ނެޝަނަލް އެސެސްމަންޓް އޮފް ލަރނިން އައުޓްކަމްސް (ނާލޯ)ގެ ހޯދުންތައް ބޭނުންކުރޭ,ސިޕް ތައްޔާރުކުރުން,5.1.5.1,ސްކޫލް އިމްޕްރޫވްމަންޓް ޕްލޭން (ސިޕް) ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.5,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
480,3- ސްކޫލަށް ޙާޞިލުކުރެވޭނެ ކަންކަން ހިމަނައިފައި ވޭ,ސިޕް ތައްޔާރުކުރުން,5.1.5.1,ސްކޫލް އިމްޕްރޫވްމަންޓް ޕްލޭން (ސިޕް) ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.5,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
481,1- މިނިސްޓްރީއާ ހިއްސާކޮށްފައި ވޭ,ސިޕް ހިއްސާކުރުން,5.1.5.2,ސްކޫލް އިމްޕްރޫވްމަންޓް ޕްލޭން (ސިޕް) ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.5,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
482,2- މުވައްޒަފުންނާ ހިއްސާކޮށްފައި ވޭ,ސިޕް ހިއްސާކުރުން,5.1.5.2,ސްކޫލް އިމްޕްރޫވްމަންޓް ޕްލޭން (ސިޕް) ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.5,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
483,3- ބެލެނިވެރިންނާ ހިއްސާކޮށްފައި ވޭ,ސިޕް ހިއްސާކުރުން,5.1.5.2,ސްކޫލް އިމްޕްރޫވްމަންޓް ޕްލޭން (ސިޕް) ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.5,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
