,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - ބަޖެޓް - ފައިނާންސް - ސްޓޮކާ ގުޅޭ,,,,,,,,,
,ބަޖެޓް - ފައިނާންސް - ސްޓޮކް,,,,,,,,,
IndicatorCode,Score,ސުވާލުކުރާނެ ފަރާތް,Evidence,General Observation,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
676,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,,ތިޖޫރީ,1- ސްކޫލުގައި ހުރި ހުރިހައި ނަގުދު ފައިސާއާއި ބޭންކް ޗެކްތައް ތިޖޫރީގައި ރައްކާކުރޭ,ތިޖޫޫރީ ބެލެހެއްޓުން,5.9.1.1,ތިޖޫރީއާ ގުޅޭ ކަންކަން އުސޫލުތަކާ އެއްގޮތަށް ބެލެހެއްޓުން,5.9.1,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
677,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,ޑިޕޮސިޓް ސްލިޕްސް,,2- ތިޖޫރީގައި ބަހައްޓާ ފައިސާ، މަހަކު އެއްފަހަރު ބޭންކް އެކައުންޓަށް ޖަމާކުރޭ,ތިޖޫޫރީ ބެލެހެއްޓުން,5.9.1.1,ތިޖޫރީއާ ގުޅޭ ކަންކަން އުސޫލުތަކާ އެއްގޮތަށް ބެލެހެއްޓުން,5.9.1,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
678,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,,އިންތިޒާމު ބެލުން,3- ތިޖޫރީގެ ތަޅުދަނޑި ރައްކާތެރިކަމާއެކު ބަލަހައްޓާ,ތިޖޫޫރީ ބެލެހެއްޓުން,5.9.1.1,ތިޖޫރީއާ ގުޅޭ ކަންކަން އުސޫލުތަކާ އެއްގޮތަށް ބެލެހެއްޓުން,5.9.1,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
679,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,ތިޖޫރި ބާކީ ފޮތުން,,"1- ތިޖޫރީގައި ބަހައްޓާ ފައިސާގެ މަޢުލޫމާތު ""ތިޖޫރި ބާކީ ފޮތުން"" އަދާހަމަކުރަމުން ދޭ",ތިޖޫރީއާ ގުޅޭ ކަންކަމުގެ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,5.9.1.2,ތިޖޫރީއާ ގުޅޭ ކަންކަން އުސޫލުތަކާ އެއްގޮތަށް ބެލެހެއްޓުން,5.9.1,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
680,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,ތިޖޫރީ ރިޕޯޓު,,2- މަހަކު އެއްފަހަރު  ތިޖޫރީ ރިޕޯޓު ތައްޔާރުކުރޭ,ތިޖޫރީއާ ގުޅޭ ކަންކަމުގެ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,5.9.1.2,ތިޖޫރީއާ ގުޅޭ ކަންކަން އުސޫލުތަކާ އެއްގޮތަށް ބެލެހެއްޓުން,5.9.1,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
681,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,މެއިލް/ތިޖޫރީ ރިޕޯޓު,,3- ތިޖޫރީ ރިޕޯޓުތައް މިނިސްޓްރީ އޮފް އެޑިޔުކޭޝަނަށް/ފިނޭންސް މިނިސްޓްރީއަށް ފޮނުވާ,ތިޖޫރީއާ ގުޅޭ ކަންކަމުގެ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,5.9.1.2,ތިޖޫރީއާ ގުޅޭ ކަންކަން އުސޫލުތަކާ އެއްގޮތަށް ބެލެހެއްޓުން,5.9.1,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
682,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,ފައިސާ ބަލައިގަންނަ ރަސީދު ފޮތް,,1- ފައިސާ ބަލައިގަތުމުގައި ރަސީދު ތައްޔާރުކުރޭ,ފައިސާ ބަލައިގަތުމުގައި ރަސީދު ބޭނުންކުރުން,5.9.2.1,  ފައިސާ ބަލައިގަތުން,5.9.2,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
683,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,ފައިސާ ބަލައިގަންނަ ރަސީދު ފޮތް/ލިބޭ ފައިސާ ފޮތް,,"2- ރަސީދުތަކުގެ ނަންބަރު ތަރުތީބުން ""ލިބޭ ފައިސާގެ ފޮތަށް"" އަރުވާ",ފައިސާ ބަލައިގަތުމުގައި ރަސީދު ބޭނުންކުރުން,5.9.2.1,  ފައިސާ ބަލައިގަތުން,5.9.2,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
684,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,ފައިނޭންސް/އެޑްމިން,,3- ފައިސާ ބަލައިގަތުމަށް ފަހު ރަސީދު ދޫކުރޭ,ފައިސާ ބަލައިގަތުމުގައި ރަސީދު ބޭނުންކުރުން,5.9.2.1,  ފައިސާ ބަލައިގަތުން,5.9.2,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
685,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,,ޕޯޓަލް ބޭނުންކުރަން އެނގޭތޯ ބެލުން,1- ބަނޑޭރި ޕޭ އަށް މުވައްޒަފުން އަހުލުވެރިކުރުވާ,ބަނޑޭރި ޕޭ އިން ފައިސާ ބަލައިގަތުން,5.9.2.2,  ފައިސާ ބަލައިގަތުން,5.9.2,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
686,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,,ޕޯޯޓަލް,2- ބަނޑޭރި ޕޭ އިން ސްކޫލަށް ލިބޭ އާމްދަނީ ފައިސާ ބަލައިގަނޭ,ބަނޑޭރި ޕޭ އިން ފައިސާ ބަލައިގަތުން,5.9.2.2,  ފައިސާ ބަލައިގަތުން,5.9.2,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
687,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,މެއިލް ,,3- ބަނޑޭރި ޕޭ ރިޕޯޓާއި ޖާރނަލް ވައުޗަރ މިނިސްޓްރީގެ ފައިނޭންސް ޑިވިޜަނަށް ފޮނުވާ (ހަމައެކަނި މާލޭ ސުކޫޅްސް),ބަނޑޭރި ޕޭ އިން ފައިސާ ބަލައިގަތުން,5.9.2.2,  ފައިސާ ބަލައިގަތުން,5.9.2,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
688,1,ފައިނޭންސް ފޯކަލް/އެޑްމިނިސްޓްރޭޓަރ,ޕީޓީއޭ ފައިސާގެ ތަފްޞީލް/ޑިޕޮސިޓް ސްލިޕް,,1- ޕީޓީއޭގެ ހަރަކާތްތަކުން ސްކޫލަށް ލިބޭ ފައިސާ އެކައުންޓަށް ޖަމާކުރޭ,އެހެނިހެން ފައިސާ ބަލައިގަތުމާއި  އެކައުންޓަށް ޖަމާކުރުން,5.9.2.3,  ފައިސާ ބަލައިގަތުން,5.9.2,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
