IndicatorCode,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
67,1- މުދައްރިސުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވޭ ,ފަންނީ މުވައްޒަފުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވުން,2.1.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
68,2- ލީޑިން ޓީޗަރުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވޭ,ފަންނީ މުވައްޒަފުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވުން,2.1.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
69,3- ޑެޕިއުޓީ ޕްރިންސިޕަލުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވޭ,ފަންނީ މުވައްޒަފުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވުން,2.1.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
70,1- މިނިސްޓްރީ އިން ކަނޑައަޅައިފައިވާ ޤަވާޢިދުތަކާއި އުސޫލުތަކާ އެއްގޮތަށް ސްކޫލުގެ ސެޝަންތަކުގެ ވަގުތު ކަނޑައަޅައިފައި ވޭ ,މިނިސްޓްރީ އިން ކަނޑައަޅައިފައިވާ ޤަވާޢިދުތަކާއި އުސޫލުތަކާ އެއްގޮތަށް ސްކޫލުގެ ސެޝަންތަކުގެ ވަގުތު ކަނޑައަޅައި ގަޑިތައް ހަމަޖައްސައިފައި ވުުން,2.1.1.2,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
71,2- މިނިސްޓްރީ އިން ކަނޑައަޅައިފައިވާ ޤަވާޢިދުތަކާއި އުސޫލުތަކާ އެއްގޮތަށް މުދައްރިސުންގެ ގަޑިތައް ހަމަޖައްސައިފައި ވޭ ,މިނިސްޓްރީ އިން ކަނޑައަޅައިފައިވާ ޤަވާޢިދުތަކާއި އުސޫލުތަކާ އެއްގޮތަށް ސްކޫލުގެ ސެޝަންތަކުގެ ވަގުތު ކަނޑައަޅައި ގަޑިތައް ހަމަޖައްސައިފައި ވުުން,2.1.1.2,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
72,3- މަންހަޖުގައި ކަނޑައަޅައިފައިވާ މިންވަރަށް މާއްދާތަކަށް ވަގުތު ހަމަޖައްސައިފައި ވޭ,މިނިސްޓްރީ އިން ކަނޑައަޅައިފައިވާ ޤަވާޢިދުތަކާއި އުސޫލުތަކާ އެއްގޮތަށް ސްކޫލުގެ ސެޝަންތަކުގެ ވަގުތު ކަނޑައަޅައި ގަޑިތައް ހަމަޖައްސައިފައި ވުުން,2.1.1.2,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
73,1- އެކި އެކި ސަބަބުތަކާހުރެ ސްކޫލަށް ހާޒިރުނުވެވޭ ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ އުސޫލެއް ހަމަޖައްސައިފައި ވޭ,ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ އުސޫލެއް ޤާއިމުކޮށްފައި ވުން ,2.1.1.3,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
74,2- ޓައިމްޓޭބަލްކޮށްފައިވާ ގަޑިތަކުގެ ތެރެއިން ތަފާތު ސަބަބުތަކާހުރެ ނަގައިނުދެވޭ ގަޑިތައް ނަގައިދޭނެ ވަކި އުސޫލެއް ހަމަޖައްސައިފައި ވޭ,ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ އުސޫލެއް ޤާއިމުކޮށްފައި ވުން ,2.1.1.3,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
75,3- ދަރިވަރުންނާއި މުދައްރިސުން އަދި ބެލެނިވެރިންނާ އުސޫލުތައް ހިއްސާކޮށްފައި ވޭ,ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ އުސޫލެއް ޤާއިމުކޮށްފައި ވުން ,2.1.1.3,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
76,1-  ސްކީމް ތައްޔާރުކުރުމަށް ސްކޫލުން  ފޯމެޓެއް ކަނޑައަޅައިފައި ވޭ  , ސްކީމްތައް ތައްޔާރުކުރުން,2.1.1.4,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
