IndicatorCode,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
331,1- ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުމަށް މުވައްޒަފަކު ހަމަޖައްސާފައި ވޭ,ޞިއްޙީ ޚިދުމަތްތައް ފޯރުކޮށްދިނުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,3.1.1.1,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
332,2- ވަޒީފާ ބަޔާނުގައި ސޮއިކުރުވާފައި ވޭ,ޞިއްޙީ ޚިދުމަތްތައް ފޯރުކޮށްދިނުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,3.1.1.1,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
333,3- ތަމްރީނުވެފައިވާހެލްތު އެސިސްޓެންޓެއް ކޮންމެ ދަންފަޅިއަކަށް ހުރޭ,ޞިއްޙީ ޚިދުމަތްތައް ފޯރުކޮށްދިނުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,3.1.1.1,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
334,1- އަހަރީހެލްތު ޕްލޭން ތައްޔާރުކޮށްފައި ވޭ,ހެލްތް އެސިސްޓެންޓުގެ މަސްއޫލިއްޔަތު އަދާކުރުން,3.1.1.2,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
335,2-ހެލްތު ޕްލޭން ތަންފީޒުކުރޭ,ހެލްތް އެސިސްޓެންޓުގެ މަސްއޫލިއްޔަތު އަދާކުރުން,3.1.1.2,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
336,3-ހެލްތު އެސިސްޓެންޓް ކުރާ މަސައްކަތުގެ ރެކޯޑުތައް ބަލަހައްޓާ,ހެލްތް އެސިސްޓެންޓުގެ މަސްއޫލިއްޔަތު އަދާކުރުން,3.1.1.2,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
337,1- މުވައްޒަފުން އަހުލުވެރިކޮށްފައި ވޭ,ސްކޫލް  ހިއްސާވާ ފަރާތްތައް، ސްކޫލް ހެލްތު ޕޮލިސީއަށް އަހުލުވެރިކުރުވުން,3.1.1.3,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
338,2-  ދަރިވަރުން އަހުލުވެރިކޮށްފައި ވޭ,ސްކޫލް  ހިއްސާވާ ފަރާތްތައް، ސްކޫލް ހެލްތު ޕޮލިސީއަށް އަހުލުވެރިކުރުވުން,3.1.1.3,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
339,3- ބެލެނިވެރިން އަހުލުވެރިކޮށްފައި ވޭ,ސްކޫލް  ހިއްސާވާ ފަރާތްތައް، ސްކޫލް ހެލްތު ޕޮލިސީއަށް އަހުލުވެރިކުރުވުން,3.1.1.3,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
340,1- ޞިއްޙީ ޚިދުމަތް ދިނުމަށް ބޭނުންވާ އަސާސީ ތަކެތި ހަމައަށް ހުރޭ,ފުރަތަމަ އެހީ ދިނުމަށް ބޭނުންވާ އިންތިޒާމު ހަމަޖެއްސުން,3.1.1.4,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
341,2- ޞިއްޙީ ޚިދުމަތް ދިނުމަށް ތަނެއް ހަމަޖައްސާފައި ވޭ,ފުރަތަމަ އެހީ ދިނުމަށް ބޭނުންވާ އިންތިޒާމު ހަމަޖެއްސުން,3.1.1.4,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
342,3- ބޭނުންކުރެވޭ ހާލަތުގައި ތަކެތި ހުރޭ,ފުރަތަމަ އެހީ ދިނުމަށް ބޭނުންވާ އިންތިޒާމު ހަމަޖެއްސުން,3.1.1.4,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
343,1- ދަރިވަރުންނަށް ޕްރޮގްރާމް ހިންގާ,ޞިއްޙީ ކަންކަމާ ގުޅޭ ގޮތުން ހޭލުންތެރިކުރުމަށް  ޕްރޮގްރާމް ހިންގުން,3.1.1.5,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
344,2- ބެލެނިވެރިން ޕްރޮގްރާމް ހިންގާ,ޞިއްޙީ ކަންކަމާ ގުޅޭ ގޮތުން ހޭލުންތެރިކުރުމަށް  ޕްރޮގްރާމް ހިންގުން,3.1.1.5,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
