,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - އިދާރީ ކަންކަމާ ގުޅޭ,,,,,,,,,
IndicatorCode,Score,ސުވާލުކުރާނެ ފަރާތް,Evidence,General Observation,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
613,1,އެޑްމިނިސްޓްރޭޓަރ,ޕަރސަނަލް ފައިލް [ 2 ލީޑިންޓީޗަރުން، 2 އެޑްމިން ސްޓާފް، ޑެޕިއުޓީ ޕްރިންސިޕަލް، 4 ޓީޗަރުން (2 ބިދޭސީން އަދި 2 ދޭސީން)، 2 ޓެކްނިކަލް، 2 ސަޕޯޓް ސްޓާފުން އަދި އިތުރު މަސްއޫލިއްޔަތުތައް  ހަވާލުކޮށްފައިވާ ފަރާތްތައް (ލިއޭޒަން އޮފިސަރު، ޕީޑީ ކޯޑިނޭޓަރު ފަދަ) ],,1- މުވައްޒަފުންގެ ޕާރސަނަލް ފައިލްތައް ތައްޔާރުކޮށްފައި ވޭ,މުވައްޒަފުންގެ ޕާރސަނަލް ފައިލްތައް އަދާހަމަކުރުން,5.5.2.4,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
614,1,އެޑްމިނިސްޓްރޭޓަރ,ޕަރސަނަލް ފައިލް [ 2 ލީޑިންޓީޗަރުން، 2 އެޑްމިން ސްޓާފް، ޑެޕިއުޓީ ޕްރިންސިޕަލް، 4 ޓީޗަރުން (2 ބިދޭސީން އަދި 2 ދޭސީން)، 2 ޓެކްނިކަލް، 2 ސަޕޯޓް ސްޓާފުން އަދި އިތުރު މަސްއޫލިއްޔަތުތައް  ހަވާލުކޮށްފައިވާ ފަރާތްތައް (ލިއޭޒަން އޮފިސަރު، ޕީޑީ ކޯޑިނޭޓަރު ފަދަ) ],,2- ޕާރސަނަލް ފައިލްތައް އަދާހަމަކުރޭ,މުވައްޒަފުންގެ ޕާރސަނަލް ފައިލްތައް އަދާހަމަކުރުން,5.5.2.4,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
615,1,އެޑްމިނިސްޓްރޭޓަރ,ޕަރސަނަލް ފައިލް [ 2 ލީޑިންޓީޗަރުން، 2 އެޑްމިން ސްޓާފް، ޑެޕިއުޓީ ޕްރިންސިޕަލް، 4 ޓީޗަރުން (2 ބިދޭސީން އަދި 2 ދޭސީން)، 2 ޓެކްނިކަލް، 2 ސަޕޯޓް ސްޓާފުން އަދި އިތުރު މަސްއޫލިއްޔަތުތައް  ހަވާލުކޮށްފައިވާ ފަރާތްތައް (ލިއޭޒަން އޮފިސަރު، ޕީޑީ ކޯޑިނޭޓަރު ފަދަ) ],,3- ޕާރސަނަލް ފައިލްތަކުގައިވާ ލިޔެކިޔުންތައް ތަރުތީބުކޮށްފައި ވޭ ,މުވައްޒަފުންގެ ޕާރސަނަލް ފައިލްތައް އަދާހަމަކުރުން,5.5.2.4,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
616,1,އެޑްމިނިސްޓްރޭޓަރ,އޮރިއެންޓޭޝަން ފުރިހަމަކޮށްފައިވާ މުވައްޒަފުންގެ ހާޒިރީ/ އޮރިއެންޓޭޝަން ޕީޕީޓީ /ޔައުމިއްޔާ/ފޮޓޯ,,1- އަލަށް ގުޅޭ މުވައްޒަފުންނަށް އޮރިއެންޓޭޝަން ޕްރޮގްރާމް ހިންގާ,ސިވިލް ސަރވިސް ޤަވާޢިދާއި މިނިސްޓްރީއާއި ސްކޫލުގެ ޤަވާޢިދުތަކަށް މުވައްޒަފުން އަހުލުވެރިކުރުވުން,5.5.3.1, އަލަށްގުޅޭ މުވައްޒަފުން ޤަވާޢިދުތަކަށް އަހުލުވެރިކުރުވުން,5.5.3,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
617,1,އެޑްމިނިސްޓްރޭޓަރ,އިންޑަކްޝަން ފުރިހަމަކޮށްފައިވާ މުވައްޒަފުންގެ ހާޒިރީ/ އިންޑަކްޝަން ޕީޕީޓީ /ޔައުމިއްޔާ/ފޮޓޯ,,2- އަލަށް ގުޅޭ މުވައްޒަފުންނަށް ސިވިލް ސަރވިސްގެ ޤަވާޢިދުތަކަށް އަހުލުވެރިކުރުމުގެ ގޮތުން އިންޑަކްޝަން ޕްރޮގްރާމު ހިންގާ,ސިވިލް ސަރވިސް ޤަވާޢިދާއި މިނިސްޓްރީއާއި ސްކޫލުގެ ޤަވާޢިދުތަކަށް މުވައްޒަފުން އަހުލުވެރިކުރުވުން,5.5.3.1, އަލަށްގުޅޭ މުވައްޒަފުން ޤަވާޢިދުތަކަށް އަހުލުވެރިކުރުވުން,5.5.3,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
618,1,އެޑްމިނިސްޓްރޭޓަރ,ސިވިލްސަރވިސް ޤަވާއިދަށް އަހުލުވެރިކުރުމަށް ގެންދެވުނު ޕްރޮގްރާމް/ އުސޫލުތައް ހިއްސާކުރުމަށް ހަމަޖައްސާފައިވާ ނިޒާމު/ ޕީޕީޓީ /ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,,3-  އަލަށް ގުޅޭ މުވައްޒަފުންނަށް ހިންގާ ޕްރޮގްރާމުތަކާ ގުޅޭ ލިޔެކިޔުންތައް ބަލަހައްޓާ,ސިވިލް ސަރވިސް ޤަވާޢިދާއި މިނިސްޓްރީއާއި ސްކޫލުގެ ޤަވާޢިދުތަކަށް މުވައްޒަފުން އަހުލުވެރިކުރުވުން,5.5.3.1, އަލަށްގުޅޭ މުވައްޒަފުން ޤަވާޢިދުތަކަށް އަހުލުވެރިކުރުވުން,5.5.3,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
591,1,އެޑްމިނިސްޓްރޭޓަރ,ވަޒީފާ ބަޔާން/ވީކްލީ ރެކޯޑްސް/މޮނިޓަރިން މެކޭނިޒަމް/ޔައުމިއްޔާ,,1- މުވައްޒަފުންގެ މަސައްކަތްތައް ބަލައި ފަންނީ ލަފަޔާއި އިރުޝާދު ދޭ,މުވައްޒަފުން ޒިންމާދާރުކުރުވުން,5.5.4.1,މުވައްޒަފުން ޒިންމާދާރުކުރުވުން,5.5.4,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
593,1,އެޑްމިނިސްޓްރޭޓަރ,ވަޒީފާ ބަޔާން/ވީކްލީ ރެކޯޑްސް/މޮނިޓަރިން މެކޭނިޒަމް/އަޅައިފައިވާ އިދާރީ ފިޔަވަޅުގެ ރެކޯޑް,,4- މުވައްޒަފުންނާ ހަވާލުކޮށްފައިވާ ޒިންމާތަކާއި މަސްއޫލިއްޔަތުތަކަށް އެޑްމިނިސްޓްރޭޓަރ އެ މުވައްޒަފުން ޖަވާބުދާރީކުރުވާ,މުވައްޒަފުން ޒިންމާދާރުކުރުވުން,5.5.4.2,މުވައްޒަފުން ޒިންމާދާރުކުރުވުން,5.5.4,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
910,1,އެޑްމިނިސްޓްރޭޓަރ,ވަޒީފާ ބަޔާން/ވީކްލީ ރެކޯޑްސް/މޮނިޓަރިން މެކޭނިޒަމް/އަޅައިފައިވާ އިދާރީ ފިޔަވަޅުގެ ރެކޯޑް,,5- މުވައްޒަފުންނާ ހަވާލުކޮށްފައިވާ ޒިންމާތަކާއި މަސްއޫލިއްޔަތުތަކަށް ލީޑިންގ ޓީޗަރު އެ މުވައްޒަފުން ޖަވާބުދާރީކުރުވާ,މުވައްޒަފުން ޒިންމާދާރުކުރުވުން,5.5.4.2,މުވައްޒަފުން ޒިންމާދާރުކުރުވުން,5.5.4,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
594,1,އެޑްމިނިސްޓްރޭޓަރ,މަރާމާތަށް އެދި ފޮނުވާފައިވާ ލިޔުން/މެއިލް,ސްކޫލް އިމާރާތްތަކާއި ގޯތިތެރެ,1- ވަސީލަތްތައް ހުރީ ބޭނުންކުރެވޭ ފަދަ ހާލަތެއްގައިކަން ކަށަވަރުކުރޭ,މަރާމާތުކުރުމާއި ތަކެތި ބެލެހެއްޓުން ,5.5.5.3,މުވައްޒަފުންނަށް މަސައްކަތްކުރުމަށް އެކަށީގެންވާ ތަނެއް ހަމަޖައްސައިދިނުން ,5.5.5,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
595,1,އެޑްމިނިސްޓްރޭޓަރ,މަރާމާތަށް އެދި ފޮނުވާފައިވާ ލިޔުން/މެއިލް/މަރާމާތުގެ ހުއްދަ,ސްކޫލް އިމާރާތްތަކާއި ގޯތިތެރެ,2- މަރާމާތުކުރަންޖެހޭ ތަކެތި މަރާމާތުކުރޭ,މަރާމާތުކުރުމާއި ތަކެތި ބެލެހެއްޓުން ,5.5.5.3,މުވައްޒަފުންނަށް މަސައްކަތްކުރުމަށް އެކަށީގެންވާ ތަނެއް ހަމަޖައްސައިދިނުން ,5.5.5,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
596,1,އެޑްމިނިސްޓްރޭޓަރ,,ގުދަން/ސްކޫލް އިމާރާތްތަކާއި ގޯތިތެރޭގައި ތަކެތި ބަހައްޓައިފައިވާ ގޮތް,3- ހަރުމުދާ ރައްކައުތެރިކަމާއެކު ބެލެހެއްޓޭނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,މަރާމާތުކުރުމާއި ތަކެތި ބެލެހެއްޓުން ,5.5.5.3,މުވައްޒަފުންނަށް މަސައްކަތްކުރުމަށް އެކަށީގެންވާ ތަނެއް ހަމަޖައްސައިދިނުން ,5.5.5,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
667,1,އެޑްމިނިސްޓްރޭޓަރ,ވަަޒީފާ ބަޔާން,,1- ކުޅިވަރު ހަރަކާތްތައް ހިންގުމުގެ މަސްއޫލިއްޔަތު ލިޔުމުން މުވައްޒަފަކާ ހަވާލުކޮށްފައި ވޭ ,ކުޅިވަރު ހަރަކާތްތައް  ސްކޫލުގައި ހިންގުން,5.8.2.3,ކޯކަރިކިޔުލަރ ހަރަކާތްތައް ހިންގުން,5.8.2,ފެންވަރު 5.8: ޞިއްޙަތާއި ކުޅިވަރު ހަރަކާތްތައް ކުރިއަށް ގެންދިއުން
590,1,އެޑްމިނިސްޓްރޭޓަރ,ތަކެތި ދޫކުރުމުގެ އުސޫލް/ފޮތް/ފޯމް,,4- ސްޓޮކުން ފަސޭހައިން ތަކެތި ލިބޭނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,އުސޫލުތަކާ އެއްގޮތަށް ސްޓޮކް ބެލެހެއްޓުން,5.9.3.1,ސްޓޮކް ބެލެހެއްޓުން,5.9.3,ފެންވަރު 5.9: ބަޖެޓާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން
