,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - ސެން,,,,,,,
,ދާއިރާ 1: ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުން –  (ލީޑިންގ ޓީޗަރ/ އެމްބެސެޑަރ) ,,,,,,,
IndicatorCode,Average,ބަލާނެ ލިޔެކިޔުން/Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
50,1,އައި ސީ ޕީ ޓީމުގެ ހުރިހައި ފަރާތްތަކުން ސޮއިކޮށްފައިވާ އައި ސީ ޕިތައް,3- ކޮންމެ 6 މަހަކުން އައި ސީ ޕީ އަދާހަމަކޮށް، ބެލެނިވެރިންނާ ހިއްސާކުރޭ,ބޭނުންވާ ދަރިވަރުންނަށް އައި ސީ ޕީ ތައްޔާރުކުރުން,1.4.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
51,1,ސްޓޫޑެންޓްސް ވިތް ކޮމްޕްލެކްސް ލާނިންގ ޕްރޮފައިލް(އެސް ސީ އެލް ޕީ)ގައި ހިމެނޭ ދަރިވަރުންގެ ލިސްޓް/އަައިސީޕީތައް,1- މެއިންސްޓްރީމް ނުކުރެވޭ ދަރިވަރުންނަށް އުނގަންނައިދިނުމަށް އައި ސީ ޕީ ބޭނުންކުރޭ,އުނގަންނައިިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން ,1.4.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
52,1,ސްޓޫޑެންޓްސް ވިތް ކޮމްޕްލެކްސް ލާނިންގ ޕްރޮފައިލް(އެސް ސީ އެލް ޕީ)ގައި ހިމެނޭ ދަރިވަރުންގެ ލިސްޓް/އަައިސީޕީތައް,2- މެއިންސްޓްރީމްކޮށްފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުމަށް އައި ސީ ޕީ ބޭނުންކުރޭ,އުނގަންނައިިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން ,1.4.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
53,1,ސްޓޫޑެންޓްސް ވިތް ކޮމްޕްލެކްސް ލާނިންގ ޕްރޮފައިލް(އެސް ސީ އެލް ޕީ)ގައި ހިމެނޭ ދަރިވަރުންގެ ލިސްޓް/އަައިސީޕީތައް,3- އުނގެނުމުގައި  ތޫނުފިލި އަދި ހުނަރުވެރި ދަރިވަރުންނަށް އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރޭ,އުނގަންނައިިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން ,1.4.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
59,1,ދަރިވަރުންގެ ލިސްޓު/ޕޯޓަލް,1- ދަރިވަރުންގެ ލިސްޓް ތައްޔާރުކޮށްފައި ވޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުން ދެނެގަތުން,1.6.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
60,1,ދަރިވަރުންގެ ލިސްޓު,2- ދަރިވަރުންނަށް އެހީތެރިކަން ބޭނުންވާ ދާއިރާތައް ފާހަގަކޮށްފައި ވޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުން ދެނެގަތުން,1.6.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
61,1,"- ޔައުމިއްޔާ
- ހާޒިރީ",3- ދަރިވަރުންގެ މަޢުލޫމާތު ގުޅުންހުރި މުދައްރިސުންނާއި ބެލެނިވެރިންނާ ހިއްސާކޮށްފައި ވޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުން ދެނެގަތުން,1.6.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
62,1,ޓްރާންސިޝަން ރިޕޯޓް,1- ދަރިވަރުންގެ މަޢުލޫމާތު އެއް ގްރޭޑުން އަނެއް ގްރޭޑަށް ފޯރުކޮށްދެވޭނެ ޓްރާންސިޝަން ރިޕޯޓު ބޭނުންކުރޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,1.6.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
63,1,ޔައުމިއްޔާ/ ހާޒިރީ ,2- ބެލެނިވެރިންނާ އެކު ބާއްވާ ބައްދަލުވުންތަކުގެ ލިޔެކިޔުންތައް ބަލަހައްޓާ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,1.6.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
64,1,އެފަދަ ދަރިވަރުންގެ ލިސްޓް/ ފޯރުކޮށްދީފައިވާ އެހީތެރިކަމާ ގުޅުންހުރި ލިޔެކިއުންތައް,3- ސްކޫލަށް ހާޒިރުނުވެވޭ ފަދަ ހާލަތެއް ދިމާވެފައިވާ ދަރިވަރުންނަށް ފޯރުކޮށްދޭ އެހީތެރިކަމާ ގުޅޭ ރެކޯޑުތައް ބަލަހައްޓާ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,1.6.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
