,މަޢުލޫމާތު އެއްކުރުމަށް ޓަކައި އޮބްޒަވޭޝަނުން ބަލާނެ ކަންތައްތައް,,,,,,,,,
IndicatorCode,Score,ސުވާލުކުރާނެ ފަރާތް,ބަލާނެ ލިޔެކިޔުން,General Observation,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
311,1,ލައިބްރޭރިއަން,ފޮތް ދޫކުރާ ސިސްޓަމް,,2- ދަރިވަރުން ބޭނުންކުރުމަށް ފޮތް ދޫކުރޭ,ދަރިވަރުންނާއި މުދައްރިސުން ލައިބްރަރީ ފޮތްތައް ބޭނުންކުރުން ,2.4.2.2,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
312,1,ލައިބްރޭރިއަން,ފޮތް ދޫކުރާ ސިސްޓަމް,,3- މުދައްރިސުން ބޭނުންކުރުމަށް ފޮތް ދޫކުރޭ ,ދަރިވަރުންނާއި މުދައްރިސުން ލައިބްރަރީ ފޮތްތައް ބޭނުންކުރުން ,2.4.2.2,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
313,1,ލެބް އެސިސްޓެންޓް/ސައިންސް ފޯކަލް ޕްއިންޓް,,ލެބް/ސައިންސްރޫމް/ބަހައްޓައިފައި ހުންނަ ތަން/އިންވެންޓްރީ ލިސްޓް,1- އެކްސްޕެރިމެންޓްތައް ކުރިއަށް ގެންދިޔުމަށް ބޭނުންވާ ކެމިކަލް އަދި އާލާތްތައް ހުރޭ,ސައިންސްގެ މާއްދާތައް އުނގަންނައިދިނުމުގައި ބޭނުންކުރެވޭ ގޮތަށް ކެމިކަލް/ އިކްއިޕްމަންޓްތަކުގެ ބޭނުންހިފުން,2.4.3.1, ސައިންސް އިކްއިޕްމަންޓްތަކާއި ކެމިކަލްތަކުގެ ބޭނުންހިފުން ,2.4.3,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
314,1,,,ލެބް/ސައިންސްރޫމް,2- ސައިންސްގެ މާއްދާތަކުގެޝައުގުވެރިކަން އިތުރުކުރުވާ ގޮތަށް ސްކޫލުގެ ލެބޯޓަރީ/ސައިންސްރޫމް ތައްޔާރުކޮށްފައި ވޭ,ސައިންސްގެ މާއްދާތައް އުނގަންނައިދިނުމުގައި ބޭނުންކުރެވޭ ގޮތަށް ކެމިކަލް/ އިކްއިޕްމަންޓްތަކުގެ ބޭނުންހިފުން,2.4.3.1, ސައިންސް އިކްއިޕްމަންޓްތަކާއި ކެމިކަލްތަކުގެ ބޭނުންހިފުން ,2.4.3,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
315,1,ލެބް އެސިސްޓެންޓް/ސައިންސް ޓީޗަރ,ލެބްް ބޭނުންކުރާ ލޮގް/ސައިންސް ލެބް ބުކިން/ލެބް ބޭނުންކޮށްގެން ގެންގޮސްފައިވާ ލެސަންޕްލޭނުތައް,,3- ފިލާވަޅުތަކާ ގުޅުވައިގެން ދަރިވަރުން ސައިންސް އިކްއިޕްމަންޓް/ ސައިންސް ކިޓްގެ ބޭނުންކުރަމުންދޭ,ސައިންސްގެ މާއްދާތައް އުނގަންނައިދިނުމުގައި ބޭނުންކުރެވޭ ގޮތަށް ކެމިކަލް/ އިކްއިޕްމަންޓްތަކުގެ ބޭނުންހިފުން,2.4.3.1, ސައިންސް އިކްއިޕްމަންޓްތަކާއި ކެމިކަލްތަކުގެ ބޭނުންހިފުން ,2.4.3,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
316,1,ލެބް އެސިސްޓެންޓް/ސައިންސް ޓީޗަރ,,ކެމިކަލްތަކުގެ އިންވެންޓަރީ/ކެމިކަލްތައް ބަހައްޓައިފައިވާ ތަނާއި ތަކެތި,1- ކެމިކަލްތައް ލޭބަލްކޮށްފައި ވޭ,ކެމިކަލްތަކާއި އިކްއިޕްމަންޓްތައް ބެލެހެއްޓުން ,2.4.3.2, ސައިންސް އިކްއިޕްމަންޓްތަކާއި ކެމިކަލްތަކުގެ ބޭނުންހިފުން ,2.4.3,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
317,1,ލެބް އެސިސްޓެންޓް/ސައިންސް ޓީޗަރ,,ލެބް/ސައިންސްރޫމް/ބަހައްޓައިފައި ހުންނަ ތަން,2- މިނިސްޓްރީއިން ކަނޑައަޅައިފައިވާ އުސޫލާ އެއްގޮތަށް، ރައްކާތެރި ތަނެއްގައި ކެމިކަލްތައް ބަލަހައްޓާފައިވޭ ,ކެމިކަލްތަކާއި އިކްއިޕްމަންޓްތައް ބެލެހެއްޓުން ,2.4.3.2, ސައިންސް އިކްއިޕްމަންޓްތަކާއި ކެމިކަލްތަކުގެ ބޭނުންހިފުން ,2.4.3,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
318,1,ލެބް އެސިސްޓެންޓް/ސައިންސް ޓީޗަރ,މިނިސްޓްރީއަށް ފޮނުވާފައިވާ ލިސްޓް/ރިކުއެސްޓް މެއިލް,,3- މުއްދަތު ހަމަވެފައިވާ ކެމިކަލްތައް އުސޫލާ އެއްގޮތަށް ނައްތާލުމަށް މިނިސްޓްރީއަށް ހުށައަޅައިފައި ވޭ,ކެމިކަލްތަކާއި އިކްއިޕްމަންޓްތައް ބެލެހެއްޓުން ,2.4.3.2, ސައިންސް އިކްއިޕްމަންޓްތަކާއި ކެމިކަލްތަކުގެ ބޭނުންހިފުން ,2.4.3,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
357,1,,,އަލިފާން ނިވި,2- މުއްދަތު ހަމަނުވާ އަލިފާންނިވި ހަރުކޮށްފައި ވޭ,އިމާރާތްތަކުގެ ރައްކާތެރިކަން ކަށަވަރުކުރުން,3.2.1.1,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
360,1,,,ސްކޫލުގެ ގޯތިތެރެއާއި އިމާރާތް,2- ހިނގާބިނގާވެ އުޅުމަށް ރައްކައުތެރި ގޮތަށް ސްކޫލް ގޯތިތެރެ ތައްޔާރުކޮށްފައި ވޭ ,ސްކޫލް ގޯތިތެރޭގެ ރައްކައުތެރިކަން ކަށަވަރުކުރުން ,3.2.1.2,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
