,ފައުންޑޭޝަން ސްޓޭޖު,,,,,,,,
, ފައުންޑޭޝަން - އޮބްޒަވޭޝަނުން ބަލާނެ ކަންތައްތައް,,,,,,,,
IndicatorCode,Score,ބަލާނެ ލިޔެކިޔުން,ހޯދާބެލުން,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
297,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,1- އުނގަންނައިދޭ ތީމާ ގުޅޭގޮތަށް  ތައްޔާރުކޮށްފައި ވޭ,ފަސް ޑޮމެއިނުން  ތަރައްގީވާ ގޮތަށް ލަރނިން އޭރިއާ ތައްޔާރުކުރުން  ,2.4.1.1,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
298,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,2- ފަސް ޑޮމެއިން ތަރައްގީކުރުމަށް ބޭނުންވާ ވަސީލަތްތައް ހުރޭ,ފަސް ޑޮމެއިނުން  ތަރައްގީވާ ގޮތަށް ލަރނިން އޭރިއާ ތައްޔާރުކުރުން  ,2.4.1.1,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
299,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,3- އާންމު ދިރިއުޅުމާ ގުޅުން ހުރި ތަކެތި  ލާރނިންގ އޭރިޔާތަކުގައި ހުރޭ,ފަސް ޑޮމެއިނުން  ތަރައްގީވާ ގޮތަށް ލަރނިން އޭރިއާ ތައްޔާރުކުރުން  ,2.4.1.1,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
300,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,1- ދަރިވަރުންގެ އެންމެ ފަހުގެ މަސައްކަތްތައް ކުލާސްރޫމުގައި ފެންނަންހުރޭ,ކްލާސްރޫމަކީ ދަރިވަރުން އުގެނުމަށް އެހީތެރިވެދޭ ފަދަ މާހައުލަކަށް ހެދުން ,2.4.1.2,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
301,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,2- ދަރިވަރުންގެ މަސައްކަތްތައް އައިލެވެލްގައި ހުރޭ,ކްލާސްރޫމަކީ ދަރިވަރުން އުގެނުމަށް އެހީތެރިވެދޭ ފަދަ މާހައުލަކަށް ހެދުން ,2.4.1.2,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
302,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,3- ތީމާ ގުޅޭގޮތުން އުނގެނުމަށް އެހީތެރިވެދޭ ފަދަ ޑިސްޕްލޭތައް ހުރޭ ,ކްލާސްރޫމަކީ ދަރިވަރުން އުގެނުމަށް އެހީތެރިވެދޭ ފަދަ މާހައުލަކަށް ހެދުން ,2.4.1.2,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
307,1,,ފައުންޑޭޝަން ކްލާސް,5- ފައުންޑޭޝަނުގެ ދަރިވަރުންނަށް އުނގަންނައިދޭ ތީމާ ގުޅޭ ގޮތަށް ފޮތްތައް ބަހައްޓާ,ދަރިވަރުންނާއި މުދައްރިސުންނަށް ބޭނުންކުރެވޭ ގޮތަށް ލައިބްރަރީ/ތަނެއް ތައްޔާރުކޮށްފައިވުން,2.4.2.1,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
308,1,,ފައުންޑޭޝަން ކްލާސް,6- ދަރިވަރުންގެ އަތްފޯރާ ފަށުގައި ފޮތްތައް ބަހައްޓާ,ދަރިވަރުންނާއި މުދައްރިސުންނަށް ބޭނުންކުރެވޭ ގޮތަށް ލައިބްރަރީ/ތަނެއް ތައްޔާރުކޮށްފައިވުން,2.4.2.1,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
, ފައުންޑޭޝަން - ލިޔެކިޔުންތަކުން ބަލާނެ ކަންތައްތައް     ,,,,,,,,
