IndicatorCode,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
13,2-  ޓެކްނިކަލް މުވައްޒަފުންނަށް މަޢުލޫމާތު ފޯރުކޮށްދީފައި ވޭ,ސްކޫލް މުޖުތަމަޢުގައި ހިމެނޭ ކަމާ ގުޅުންހުރި އެންމެހައި ފަރާތްތަކަށް އިންޑިވިޖުއަލައިޒްޑް ކަރިކިޔުލަމް ޕްލޭން (އައިސީޕީ) އާ ބެހޭ މަޢުލޫމާތު ފޯރުކޮށްދިނުން,1.1.2.4,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
14,3- ބެލެނިވެރިންނަށް މަޢުލޫމާތު ފޯރުކޮށްދީފައި ވޭ,ސްކޫލް މުޖުތަމަޢުގައި ހިމެނޭ ކަމާ ގުޅުންހުރި އެންމެހައި ފަރާތްތަކަށް އިންޑިވިޖުއަލައިޒްޑް ކަރިކިޔުލަމް ޕްލޭން (އައިސީޕީ) އާ ބެހޭ މަޢުލޫމާތު ފޯރުކޮށްދިނުން,1.1.2.4,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
15,1- ހޭލުންތެރިކުރުމުގެ ޕްރޮގްރާމްތައް މުދައްރިސުންނަށް ހިންގައިފައި ވޭ,ނާޒުކު ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުމުގެ މުހިންމުކަމާ ބެހޭ ގޮތުން ހޭލުންތެރިކުރުމުގެ ޙަރަކާތްތައް ހިންގުން,1.1.2.5,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
16,2-  ހޭލުންތެރިކުރުމުގެ ޕްރޮގްރާމްތައް ބެލެނިވެރިންނަށް ހިންގައިފައި ވޭ,ނާޒުކު ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުމުގެ މުހިންމުކަމާ ބެހޭ ގޮތުން ހޭލުންތެރިކުރުމުގެ ޙަރަކާތްތައް ހިންގުން,1.1.2.5,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
17,3- ހޭލުންތެރިކުރުމުގެ ޕްރޮގްރާމްތައް ހުރިހައި ދަރިވަރުންނަށް ހިންގައިފައި ވޭ,ނާޒުކު ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުމުގެ މުހިންމުކަމާ ބެހޭ ގޮތުން ހޭލުންތެރިކުރުމުގެ ޙަރަކާތްތައް ހިންގުން,1.1.2.5,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
18,1- މުވައްޒަފުންނަށް ޕްރޮގްރާމް ހިންގައިފައި ވޭ,ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާމެދު، ސްކޫލް ހިއްސާވާ ފަރާތްތަކުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް ޕްރޮގްރާމް ހިންގުން,1.1.2.6,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
19,2-  ބެލެނިވެރިންނަށް ޕްރޮގްރާމް ހިންގައިފައި ވޭ,ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާމެދު، ސްކޫލް ހިއްސާވާ ފަރާތްތަކުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް ޕްރޮގްރާމް ހިންގުން,1.1.2.6,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
20,3- ދަރިވަރުންނަށް ޕްރޮގްރާމް ހިންގައިފައި ވޭ,ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާމެދު، ސްކޫލް ހިއްސާވާ ފަރާތްތަކުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް ޕްރޮގްރާމް ހިންގުން,1.1.2.6,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
22,1- ކޮމިޓީގައި ހިމަނަންޖެހޭ ފަރާތްތައް ހިމަނައިފައި ވޭ,އިންކްލޫޝަން ކޮމިޓީ އެކުލަވައިލުން,1.2.1.1,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
23,2- ކޮމިޓީގެ މެންބަރުންނަށް މަސްއޫލިއްޔަތު ލިޔުމުން ހަވާލުކޮށްފައި ވޭ,އިންކްލޫޝަން ކޮމިޓީ އެކުލަވައިލުން,1.2.1.1,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
