,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - ޕްރިންސިޕަލް / ޑެޕިއުޓީ ޕްރިންސިޕަލް,,,,,,,
IndicatorCode,Average,ބަލާނެ ލިޔެކިޔުން/Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
467,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,2- ހާލަތަށް ރިއާޔަތްކޮށް ސްޓްރެޓީޖިކް ޕްލޭން މުޠާލިޔާކުރޭ, ސްޓްރެޓީޖިކް ޕްލޭން ތަންފީޒުކުރުން ,5.1.2.3,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
468,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ/ވެބްސައިޓް,3- ސްޓްރެޓީޖިކް ޕްލޭނަށް ގެނެވުނު ބަދަލުތައް ކަމާ ގުޅޭ ފަރާތްތަކަށް ހިއްސާކޮށްފައި ވޭ, ސްޓްރެޓީޖިކް ޕްލޭން ތަންފީޒުކުރުން ,5.1.2.3,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
469,1,ސްޓްރެޓީޖިކް ޕްލޭން/އެސްއެސްއީ ރިޕޯޓް,1-  ޙާސިލުކުރެވޭފަދަ އެކަޑަމިކް ލަނޑުދަނޑިތައް ކަނޑައަޅައިފައި ވޭ,އަހަރު ތެރޭގައި ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3.1,ދިރާސީ އަހަރު ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
470,1,ސްޓްރެޓީޖިކް ޕްލޭން/އެސްއެސްއީ ރިޕޯޓް,2- ޙާސިލުކުރެވޭފަދަ ކޯކަރިކިއުލާ ލަނޑުދަނޑިތައް ކަނޑައަޅައިފައި ވޭ,އަހަރު ތެރޭގައި ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3.1,ދިރާސީ އަހަރު ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
471,1,ސްޓްރެޓީޖިކް ޕްލޭން/އެސްއެސްއީ ރިޕޯޓް/އަހަރީ ޕްލޭން,3 - ޓާގެޓުތަކާއި މިންގަނޑުތައް ކަނޑައަޅައިފައި ވޭ,އަހަރު ތެރޭގައި ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3.1,ދިރާސީ އަހަރު ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
506,1,އިމްޕްލިމެންޓޭޝަން ޗެކްލިސްޓް,2- ސްކޫލް ހިއްސާވާ ފަރާތްތަކުގެ ކަންބޮޑުވުންތަކަށް ހައްލު ގެނައުމަށް މަސައްކަތްކުރޭ,ސްކޫލް ހިއްސާވާ ފަރާތްތަކުގެ ކަންބޮޑުވުންތައް ހިއްސާކުރެވޭނެ ނިޒާމެއް ގާއިމުކުރުން,5.2.2.2,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
507,1,އެސްއޯޕީ,3- ސްކޫލް ހިއްސާވާ ފަރާތްތަކުން ހުށަހަޅާ ކަންބޮޑުވުންތަކުގެ ސިއްރު ހިފެހެއްޓުމަށް އިންތިޒާމުތަކެއް ގާއިމުކޮށްފައި ވޭ,ސްކޫލް ހިއްސާވާ ފަރާތްތަކުގެ ކަންބޮޑުވުންތައް ހިއްސާކުރެވޭނެ ނިޒާމެއް ގާއިމުކުރުން,5.2.2.2,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
519,1,ސްކޫލް ޕްރޮފައިލް,3- ސްކޫލުގެ ޕްރޮފައިލް އަދާހަމަކުރޭ,އިދާރީ ލިޔެކިޔުންތައް ބަލަހައްޓައި އަދާހަމަކުރުން,5.2.5.1,އިދާރީ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,5.2.5,ފެންވަރު 5.2: އިދާރީ ހިންގުން
540,1,އެލްޓީ މެނުއަލް/ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,1- އުނގެނުމާއި އުނގަންނައިދިނުމާ ބެހޭ ގޮތުން މަޝްވަރާކުރުމަށް އެސް އެމް ޓީ މީޓިން ބާއްވާ,އުނގެނުމާއި އުނގަންނައިދިނުމާ ބެހޭ ގޮތުން  މަޝްވަރާކުރުން,5.4.2.1,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
541,1,ހާޒިރީ/ޔައުމިއްޔާ,2 - ކޯޑިނޭޝަން މީޓިންތައް ކުރިއަށް ދާ ގޮތް ބަލައި އިރުޝާދު ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމާ ބެހޭ ގޮތުން  މަޝްވަރާކުރުން,5.4.2.1,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
542,1,ހާޒިރީ/ޔައުމިއްޔާ/ގުޅުން ހުރި ޕީޕީޓީ,3- ލީޑިންޓީޗަރުންނާއި މުދައްރިސުންނާއެކު ބާއްވާ ބައްދަލުވުންތަކުގައި ކަރިކިއުލަމް ތަންފީޒުކުރުމަށް  ބޭނުންވާ ފަންނީ ލަފަޔާއި އިރުޝާދު ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމާ ބެހޭ ގޮތުން  މަޝްވަރާކުރުން,5.4.2.1,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
543,1,އޮބްޒަވޭޝަން ފޯމް އަަދިޝެޑިއުލް,1- މުދައްރިސުންގެ ފިލާވަޅުތައް ތާވަލުކޮށްގެން އޮބްޒާރވްކޮށް ލިޔުމުން ފީޑްބެކް ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ކަންކަން މޮނިޓަރކުރުން,5.4.2.2,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
