,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - ޕްރިންސިޕަލް / ޑެޕިއުޓީ ޕްރިންސިޕަލް,,,,,,,
IndicatorCode,Average,ބަލާނެ ލިޔެކިޔުން/Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
554,1,ވަޒީފާ ބަޔާން/ވީކްލީ ރެކޯޑްސް/މޮނިޓަރިން މެކޭނިޒަމް/އަޅައިފައިވާ އިދާރީ ފިޔަވަޅުގެ ރެކޯޑް,3- މުވައްޒަފުން ޒިންމާދާރުކުރުމުގެ ގޮތުން އަޅަންޖެހޭ ފިޔަވަޅުތައްއަޅާ,މުވައްޒަފުންނާ ހަވާލުކޮށްފައިވާ ޒިންމާތަކާއި މަސްއޫލިއްޔަތުތަކަށް ޕްރިންސިޕަލް މުވައްޒަފުން ޖަވާބުދާރީކުރުވުން,5.4.4.1, ޕްރިންސިޕަލް، މުވައްޒަފުން ޖަވާބުދާރީކުރުވުން,5.4.4,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
913,1,ވަޒީފާ ބަޔާން/ވީކްލީ ރެކޯޑްސް/މޮނިޓަރިން މެކޭނިޒަމް/އަޅައިފައިވާ އިދާރީ ފިޔަވަޅުގެ ރެކޯޑް,2- މުވައްޒަފުންނާ ހަވާލުކޮށްފައިވާ ޒިންމާތަކާއި މަސްއޫލިއްޔަތުތަކަށް ޕްރިންސިޕަލް އެ މުވައްޒަފުން ޖަވާބުދާރީކުރުވާ,މުވައްޒަފުން ޒިންމާދާރުކުރުވުން,5.5.4.2,މުވައްޒަފުން ޒިންމާދާރުކުރުވުން,5.5.4,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
911,1,ވޯކް އެލޮކޭޝަން/އެސްއައި ފޯމް,6- ޕްރިންސިޕަލުގެ ބެލުމުގެ ދަށުގައިވާ މުވައްޒަފުންގެ ތެރެއިން ވަކި މުވައްޒަފަކަށް ބުރަނުވާނެހެން މަސައްކަތް ބަހައިފައި ވޭ,މުވައްޒަފުން ޒިންމާދާރުކުރުވުން,5.5.4.2,މުވައްޒަފުން ޒިންމާދާރުކުރުވުން,5.5.4,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
663,1,ތަމްރީނު ފުރިހަމަކޮށްފައިވާ މުވައްޒަފުންގެ ލިސްޓު/ ފޯރު ކޮށްދީފައިވާ ތަމްރީނުތަކުގެ ރެކޯޑް/ފޮޓޯ,3- ޔުނިފޯމު ހަރަކާތްތައް ހިންގުމާ ބެހޭ ތަމްރީނު މުވައްޒަފުންނަށް ފޯރުކޮށްދޭ,އިންޓެލެކްޗުއަލް އެންޑް ސޯޝަލް އެކްޓިވިޓީސް (ޔުނިފޯމު ހަރަކާތްތައް) ހިންގުން,5.8.2.1,ކޯކަރިކިޔުލަރ ހަރަކާތްތައް ހިންގުން,5.8.2,ފެންވަރު 5.8: ޞިއްޙަތާއި ކުޅިވަރު ހަރަކާތްތައް ކުރިއަށް ގެންދިއުން
664,1,ވަަޒީފާ ބަޔާން,1- ކްލަބް ޖަމްޢިއްޔާތަކުގެ ޙަރަކާތްތައް ހިންގުމުގެ މަސްއޫލިއްޔަތު ލިޔުމުން މުވައްޒަފަކާ ހަވާލުކޮށްފައި ވޭ ,ސިވިކް ވެލިއުސް އެކްޓިވިޓީސް (މަދަނީ ތަރުބިއްޔަތު- ކްލަބް ޖަމްޢިއްޔާތަކުގެ ޙަރަކާތްތައް ފަދަ) ހިންގުން,5.8.2.2,ކޯކަރިކިޔުލަރ ހަރަކާތްތައް ހިންގުން,5.8.2,ފެންވަރު 5.8: ޞިއްޙަތާއި ކުޅިވަރު ހަރަކާތްތައް ކުރިއަށް ގެންދިއުން
18,1,"- ޔައުމިއްޔާ
- ހާޒިރީ
- ގުޅުންހުރި ފޮޓޯ",1- މުވައްޒަފުންނަށް ޕްރޮގްރާމް ހިންގައިފައި ވޭ,ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާމެދު، ސްކޫލް ހިއްސާވާ ފަރާތްތަކުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް ޕްރޮގްރާމް ހިންގުން,1.1.2.6,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
19,1,"- ޔައުމިއްޔާ
- ހާޒިރީ
- ގުޅުންހުރި ފޮޓޯ",2-  ބެލެނިވެރިންނަށް ޕްރޮގްރާމް ހިންގައިފައި ވޭ,ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާމެދު، ސްކޫލް ހިއްސާވާ ފަރާތްތަކުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް ޕްރޮގްރާމް ހިންގުން,1.1.2.6,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
20,1,"- ޔައުމިއްޔާ
- ހާޒިރީ
- ގުޅުންހުރި ފޮޓޯ",3- ދަރިވަރުންނަށް ޕްރޮގްރާމް ހިންގައިފައި ވޭ,ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާމެދު، ސްކޫލް ހިއްސާވާ ފަރާތްތަކުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް ޕްރޮގްރާމް ހިންގުން,1.1.2.6,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
26,1,ކަށަވަރުކުރާކަން އެނގޭ ޑޮކިއުމެންޓެއް,2- މަސްއޫލިއްޔަތު އަދާކުރާކަން ސުޕަވައިޒަރު ކަށަވަރުކުރޭ , އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންތައްތައް ބެލެހެއްޓުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,1.2.1.2,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
41,1,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,1- ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި  ދަރިވަރުންނާ މެދު ސްކޫލް މުވައްޒަފުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ," ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުން ބަލައިގަތުން
 ",1.3.1.3,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
42,1,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,"2- ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާ މެދު ބެލެނިވެރިން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
"," ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުން ބަލައިގަތުން
 ",1.3.1.3,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
43,1,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,"3- ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުންނާ މެދު އެހެނިހެން ދަރިވަރުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
"," ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުން ބަލައިގަތުން
 ",1.3.1.3,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
44,1,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,"1- ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާ މެދު ސްކޫލް މުވައްޒަފުން ދެކޭގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
",ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާމެދު ދެކޭ ގޮތް ރަނގަޅުކުުރުން,1.3.1.4,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
45,1,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,"2- ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާ މެދު ބެލެނިވެރިން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
",ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާމެދު ދެކޭ ގޮތް ރަނގަޅުކުުރުން,1.3.1.4,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
46,1,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,"3- ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާ މެދު އެހެނިހެން ދަރިވަރުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
",ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާމެދު ދެކޭ ގޮތް ރަނގަޅުކުުރުން,1.3.1.4,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
68,1,އުސޫލު/މެނުއަލް,2- ލީޑިން ޓީޗަރުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވޭ,ފަންނީ މުވައްޒަފުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވުން,2.1.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
70,1,ޓައިމްޓޭބަލް,1- މިނިސްޓްރީ އިން ކަނޑައަޅައިފައިވާ ޤަވާޢިދުތަކާއި އުސޫލުތަކާ އެއްގޮތަށް ސްކޫލުގެ ސެޝަންތަކުގެ ވަގުތު ކަނޑައަޅައިފައި ވޭ ,މިނިސްޓްރީ އިން ކަނޑައަޅައިފައިވާ ޤަވާޢިދުތަކާއި އުސޫލުތަކާ އެއްގޮތަށް ސްކޫލުގެ ސެޝަންތަކުގެ ވަގުތު ކަނޑައަޅައި ގަޑިތައް ހަމަޖައްސައިފައި ވުުން,2.1.1.2,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
71,1,ޓައިމްޓޭބަލް,2- މިނިސްޓްރީ އިން ކަނޑައަޅައިފައިވާ ޤަވާޢިދުތަކާއި އުސޫލުތަކާ އެއްގޮތަށް މުދައްރިސުންގެ ގަޑިތައް ހަމަޖައްސައިފައި ވޭ ,މިނިސްޓްރީ އިން ކަނޑައަޅައިފައިވާ ޤަވާޢިދުތަކާއި އުސޫލުތަކާ އެއްގޮތަށް ސްކޫލުގެ ސެޝަންތަކުގެ ވަގުތު ކަނޑައަޅައި ގަޑިތައް ހަމަޖައްސައިފައި ވުުން,2.1.1.2,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
72,1,މަންހަޖުގައި ކަނޑައަޅައިފައިވާ ޕީރިއަޑް އެލޮކޭޝަން/ޓައިމްޓޭބަލް,3- މަންހަޖުގައި ކަނޑައަޅައިފައިވާ މިންވަރަށް މާއްދާތަކަށް ވަގުތު ހަމަޖައްސައިފައި ވޭ,މިނިސްޓްރީ އިން ކަނޑައަޅައިފައިވާ ޤަވާޢިދުތަކާއި އުސޫލުތަކާ އެއްގޮތަށް ސްކޫލުގެ ސެޝަންތަކުގެ ވަގުތު ކަނޑައަޅައި ގަޑިތައް ހަމަޖައްސައިފައި ވުުން,2.1.1.2,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
377,1,އެސް އީ އޯ ޕީ,1- އެސް އީ އޯ ޕީ ތައްޔާރުކޮށްފައި ވޭ,އެސް އީ އޯ ޕީ ތައްޔާރުކޮށް އަހުލުވެރިކުރުން   ,3.2.1.8,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
378,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,2- ސްކޫލް ހިއްސާވާ ފަރާތްތައް އަހުލުވެރިކުރުވާ,އެސް އީ އޯ ޕީ ތައްޔާރުކޮށް އަހުލުވެރިކުރުން   ,3.2.1.8,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
379,1,މުއާމަލާތްކޮށްފައިވާ ލިޔެކިއުންތައް/ފޮޓޯ,3- އެސް އީ އޯ ޕީގައި ބަޔާންކޮށްފައިވާ ގޮތަށް ޑްރިލް ބާއްވާ,އެސް އީ އޯ ޕީ ތައްޔާރުކޮށް އަހުލުވެރިކުރުން   ,3.2.1.8,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
380,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ/އެސް އޯ ޕީ,1- މުދައްރިސުން ހޭލުންތެރިކުރުވުމަށް ޕްރޮގްރާމް ހިންގާ,އިންޓަނެޓާއި މީސް މީޑިއާ ބޭނުންކުރުމުގައި ދަރިވަރުންގެ ރައްކާތެރިކަން ކަށަވަރުކުރުން,3.2.1.9,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
381,1,ސްކޫލް ވައިފައި ބޭނުންކުރާގޮތުގެ ރިޕޯޓް,2- ޑިޓިޓަލް ވަޞީލަތްތައް ބޭނުންކުރާ ގޮތް މޮނިޓަރކުރަމުން ގެންދޭ ,އިންޓަނެޓާއި މީސް މީޑިއާ ބޭނުންކުރުމުގައި ދަރިވަރުންގެ ރައްކާތެރިކަން ކަށަވަރުކުރުން,3.2.1.9,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
382,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ/އެސް އޯ ޕީ,3- އިންޓަނެޓާއި މީސް މީޑިއާ ރައްކާތެރިކަމާއެކު ބޭނުންކުރެވޭނެ ގޮތްތަކާ ގުޅޭ ގޮތުން ބެލެނިވެރިން އަހުލުވެރިކުރޭ,އިންޓަނެޓާއި މީސް މީޑިއާ ބޭނުންކުރުމުގައި ދަރިވަރުންގެ ރައްކާތެރިކަން ކަށަވަރުކުރުން,3.2.1.9,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
426,1,އިމްޕްލިމެންޓޭޝަން ޗެކްލިސްޓް، ކޭސް ރިކޯޑް,3- ލިއޭޒަން އޮފިސަރާއި ޑެޕިއުޓީ ލިއޭޒަން އޮފިސަރުގެ ޒިންމާއަދާކުރާކަން ކަށަވަރުކުރޭ,ޗައިލްޑް ޕްރޮޓެކްޝަން ޕޮލިސީ ތަންފީޒުކުރުން,3.5.1.5,ރައްކާތެރިކަމާ ގުޅޭ އުސޫލުތައް ތަންފީޒުކުރުން,3.5.1,ފެންވަރު 3.5: ޞިއްޙަތާއި ރައްކާތެރިކަމާ ގުޅުންހުރި ޕޮލިސީތަކާއި އުސޫލުތައް
435,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,1- ޤައުމީ މަންހަޖަށް ބެލެނިވެރިން އަހުލުވެރިކުރުވާ,އުނގަންނައިދިނުމުާ ގުޅޭ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1.2,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
441,1,މައްސަލަ ދިމާވެފައިވާ ދަރިވަރުންގެ ލިސްޓް/ހާޒިރީ/ޔައުމިއްޔާ/ކޭސް ރިކޯޑް,1-  ދަރިވަރުންގެ އަޚުލާޤީ މައްސަލަތައް ބެލެނިވެރިންނާ ހިއްސާކުރޭ,ދަރިވަރުންގެ އަޚުލާޤާއި ތަރުބިއްޔަތާ ގުޅޭ ކަންކަމަށް ބެލެނިވެރިން ހޭލުންތެރިކުރުން ,4.1.1.4,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
442,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,2- ދަރިވަރުންގެ އަޚުލާޤު ރަނގަޅުކުރުމާ ގުޅޭ ގޮތުން ހޭލުންތެރިކުރުމަށް ހަރަކާތްތައް ހިންގާ,ދަރިވަރުންގެ އަޚުލާޤާއި ތަރުބިއްޔަތާ ގުޅޭ ކަންކަމަށް ބެލެނިވެރިން ހޭލުންތެރިކުރުން ,4.1.1.4,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
443,1,ހާޒިރީ/ޔައުމިއްޔާ/ޕޭރެންޓަލް އެވެއަނެސް ސެޝަންތަކާ ގުޅޭ ލިޔެކިއުންތައް,3- ޕްރޮގްރާމުތަކުގެ ލިޔެކިޔުންތައް ބަލަހައްޓާ,ދަރިވަރުންގެ އަޚުލާޤާއި ތަރުބިއްޔަތާ ގުޅޭ ކަންކަމަށް ބެލެނިވެރިން ހޭލުންތެރިކުރުން ,4.1.1.4,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
450,1,ހިއްސާކުރާ ގޮތެއް,3- ސްކޫލުގައި ހިންގާ ހަރަކާތްތަކުގެ ޤަވާޢިދުތައް ބެލެނިވެރިންނާ ހިއްސާކުރޭ,ސްކޫލުން ހިންގާ ޙަރަކާތްތަކުގެ މަޢުލޫމާތު ބެލެނިވެރިންނާ ހިއްސާކުރުން,4.2.1.2,ބެލެނިވެރިންނާއި ސްކޫލާ ދެމެދު މުއާމަލާތްކުރުން,4.2.1,ފެންވަރު 4.2: ބެލެނިވެރިންނާ މުއާމަލާތުކުރުން
500,1,އެސްއޯޕީ/ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,2- ސްޓޭންޑަރޑް އޮޕަރޭޝަނަލް ޕްރޮސީޖާތައް އާންމުކުރުން,މުޢާމަލާތް ކުރުމަށް ބޭނުންވާ އިންތިޒާމު ހަމަޖެއްސުން,5.2.1.1,މުޢާމަލާތުކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,5.2.1,ފެންވަރު 5.2: އިދާރީ ހިންގުން
502,1,އެސްއޯޕީ,1- ހުށަހަޅާނެ ގޮތް ލިޔެކިޔުމުން އޮވޭ,ދަރިވަރުންގެ ރައްކާތެރިކަމަށް ބުރޫއަރާ ފަދަ ކަމެއް އެއްވެސް ފަރާތަކުން ކޮށްފި ނަމަ، އެކަން ހުށަހަޅާނެ ނިޒާމެއް ގާއިމުކުރުން ,5.2.2.1,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
503,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,2- ހުށަހަޅާނެ ގޮތް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކޮށްފައި ވޭ,ދަރިވަރުންގެ ރައްކާތެރިކަމަށް ބުރޫއަރާ ފަދަ ކަމެއް އެއްވެސް ފަރާތަކުން ކޮށްފި ނަމަ، އެކަން ހުށަހަޅާނެ ނިޒާމެއް ގާއިމުކުރުން ,5.2.2.1,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
505,1,އެސްއޯޕީ/ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,1- ސްކޫލް ހިއްސާވާ ފަރާތްތަކުގެ ކަންބޮޑުވުންތައް ހިއްސާކުރެވޭނެ ގޮތެއް ހަމަޖައްސައި، ހިއްސާވާ ފަރާތްތަކަށް އަންގައިފައި ވޭ,ސްކޫލް ހިއްސާވާ ފަރާތްތަކުގެ ކަންބޮޑުވުންތައް ހިއްސާކުރެވޭނެ ނިޒާމެއް ގާއިމުކުރުން,5.2.2.2,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
508,1,- އިންތިޒާމު (ގޫގުލް ޑްރައިވް/ސަރވަރ/ޝެއަރޑް ފޯލްޑަރ),1- މިނިސްޓްރީގެ އުސޫލުތަކާއި ސަރކިއުލަރތައް ހިއްސާވާ ފަރާތްތަކާ ޤަވާޢިދުން ހިއްސާކުރޭ,މިނިސްޓްރީގެ އުސޫލުތަކާއި ސަރކިއުލަރތައް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކޮށް އަހުލުވެރިކުރުން,5.2.2.3,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
513,1,ދަރިވަރުންގެ ހާޒިރީ/ހޯމް ވިޒިޓް ފޯމް/މިނިސްޓްރީއަށް ހިއްސާކޮށްފައިވާ ލިޔުންތައް,3- ދިގު މުއްދަތަކަށް ހާޒިރުނުވާ ދަރިވަރުންގެ މަޢުލޫމާތު މިނިސްޓްރީއަށް ހިއްސާކޮށް ލިޔެކިޔުންތައް ބަލަހައްޓާ,ދަރިވަރުންގެ ހާޒިރީއާ ގުޅޭ ކަންކަމުގައި އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3.1,އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3,ފެންވަރު 5.2: އިދާރީ ހިންގުން
537,1,,1- ހުރިހައި ގްރޭޑެއްގެ ސްކީމްތައް ފަސޭހައިން އެއްތަނަކުން ފެންނާނެ ގޮތަށް އިންތިޒާމުކޮށްފައި ވޭ,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ރައްކާތެރިކަމާ އެކު ބެލެހެއްޓޭނެ އިންތިޒާމު ހަމަޖައްސައިފައިވުން,5.4.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ބަލަހައްޓާނެ ނިޒާމެއް ގާއިމުކުރުން,5.4.1,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
538,1,,2- ހުރިހައި ގްރޭޑެއްގެ ލެސަން ޕްލޭނުތައް ފަސޭހައިން އެއްތަނަކުން ފެންނާނެ ގޮތަށް އިންތިޒާމުކޮށްފައި ވޭ,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ރައްކާތެރިކަމާ އެކު ބެލެހެއްޓޭނެ އިންތިޒާމު ހަމަޖައްސައިފައިވުން,5.4.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ބަލަހައްޓާނެ ނިޒާމެއް ގާއިމުކުރުން,5.4.1,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
539,1,,3- އުނގަންނައިދިނުމުގެ އެހީގެ ގޮތުގައި ބޭނުންކުރާ ވަސީލަތްތައް އެއްތަނަކުން ފެންނާނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ރައްކާތެރިކަމާ އެކު ބެލެހެއްޓޭނެ އިންތިޒާމު ހަމަޖައްސައިފައިވުން,5.4.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ބަލަހައްޓާނެ ނިޒާމެއް ގާއިމުކުރުން,5.4.1,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
556,1,ތާވަލު / އެލްޓީ ސޮއިކޮށްފައިވާ ފީޑްބެކްފޯމް,2-  ލީޑިންގ ޓީޗަރުންގެ ފިލާވަޅުތައް ތާވަލުކޮށްގެން އޮބްޒާވްކޮށް ލިޔުމުން ފީޑުބެކު ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ކަންކަން މޮނިޓަރކޮށް މުވައްޒަފުންނަށް ބޭނުންވާ ފަންނީ ލަފަޔާއި އިރުޝާދު ދިނުން,5.4.5.1,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޑެޕިއުޓީ ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.5,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
