,,,,,Teachers Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,0,0,0,3.2.1.10,18- ދަރިވަރުންގެ އަޚުލާޤާ މެދު މުދައްރިސުން ދެކޭ ގޮތް,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,0,0,0,5.4.7.1,19- މަންހަޖު ތަންފީޒުކުރުމަށް ބޭނުންވާ ފަންނީ އެހީތެރިކަން ޕްރިންސިޕަލްގެ ފަރާތުން ލިބޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,0,0,0,5.4.7.1,20- މަންހަޖު ތަންފީޒުކުރުމަށް ބޭނުންވާ ފަންނީ އެހީތެރިކަން ޑެޕިއުޓީ ޕްރިންސިޕަލްގެ ފަރާތުން ލިބޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,0,0,0,5.4.7.1,21- މަންހަޖު ތަންފީޒުކުރުމަށް ބޭނުންވާ ފަންނީ އެހީތެރިކަން ލީޑިންގ ޓީޗަރުގެ ފަރާތުން ލިބޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,0,0,0,5.1.3.1,22- ހާސިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0,0,0,5.1.3.1,23- ލަނޑުދަނޑިތައް ހާސިލުވަމުންދާ މިންވަރު ބަލައި ފިޔަވަޅުއަޅާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,0,0,0,5.4.2.4,24- އިންފޯމަލް އޮބްޒަރވޭޝަން  ކުރިއަށްގެންދޭ (ވިންޑޯ އޮބްޒަރވޭޝަން ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,0,0,0,5.4.3.1,25- މުދައްރިސުން  ސްކޫލުގައި އުޅޭ ވަގުތުތަކުގައި ޕްރިންސިޕަލް މުދައްރިސުންނާ  ބައްދަލުވެ، ވާހަކަދައްކައި ހަދާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,0,0,0,5.4.3.1,26- ސްކޫލުން ކުރިއަށްގެންދާ ހަރަކާތްތައް ކުރިއަށްދާ އިރު ޕްރިންސިޕަލް ހާޒިރުވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,0,0,0,5.7.1.4,27- ސްކޫލް މާހައުލަކީ އޯގާތެރިކަމާ އެކު މުއާމަލާތްކުރާ ތަނަކަށް ހެދުމަށް އެސެމްބްލީގައި ބާރުއަޅާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
