,ދާއިރާ 1: ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުން –  (ލީޑިންގ ޓީޗަރ/ އެމްބެސެޑަރ) ,,,,,,,,,
16,1,ސެން އެލްޓީ,,"- ޔައުމިއްޔާ
- ހާޒިރީ
- ގުޅުންހުރި ފޮޓޯ",2-  ހޭލުންތެރިކުރުމުގެ ޕްރޮގްރާމްތައް ބެލެނިވެރިންނަށް ހިންގައިފައި ވޭ,,,,,
17,1,ސެން އެލްޓީ,,"- ޔައުމިއްޔާ
- ހާޒިރީ
- ގުޅުންހުރި ފޮޓޯ",3- ހޭލުންތެރިކުރުމުގެ ޕްރޮގްރާމްތައް ހުރިހައި ދަރިވަރުންނަށް ހިންގައިފައި ވޭ,,,,,
22,1,ސެން އެލްޓީ,,ކޮމިޓީގައި ހިމެނޭ މެންބަރުންގެ ލިސްޓު/ޔައުމިއްޔާ,1- ކޮމިޓީގައި ހިމަނަންޖެހޭ ފަރާތްތައް ހިމަނައިފައި ވޭ,އިންކްލޫޝަން ކޮމިޓީ އެކުލަވައިލުން,1.2.1.1,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
24,1,ސެން އެލްޓީ,,- ހިއްސާކޮށްފައިވާ ގޮތެއް (ޔައުމިއްޔާ/ހާޒިރީ/ޑިސްޕްލޭކޮށްފައިވާ ލިސްޓް/ޕޯޓަލް),3- ކޮމިޓީގެ މަޢުލޫމާތު ކަމާ ގުޅުންހުރި ފަރާތްތަކާ ހިއްސާކޮށްފައި ވޭ,,,,,
27,1,ސެން އެލްޓީ,,"- ސެން މުދައްރިސުންގެ ލިސްޓު
- ދަރިވަރުންގެ ލިސްޓް
- ރިކުއަރމެންޓް",3- ތަމްރީނު ލިބިފައިވާ ސެން މުދައްރިސުން، ދަރިވަރުންގެ ނިސްބަތުން ތިބޭ, އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންތައްތައް ބެލެހެއްޓުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,1.2.1.2,,,
31,1,ސެން އެލްޓީ,,ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް އެނގޭ ގޮތަށް ތައްޔާރުކޮށްފައިވާ ލިސްޓް,1- ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ދެނެގަނެފައި ވޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ހޯދުން,1.2.2.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ޤާއިމުކުުރުން,1.2.2,
32,1,ސެން އެލްޓީ,,,"2- ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ފަސޭހައިން ބޭނުންކުރެވޭ ގޮތަށް ހުރޭ


 ",,,,,
33,1,ސެން އެލްޓީ,,ހިއްސާކުރި ލިޔުމެއް/ މެއިލްއެއް,"3- ކޮމްޕްލެކްސް ލާނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންގެ ތެރެއިން އިތުރު ވަސީލަތްތައް/އެހީ ބޭނުންވާ ދަރިވަރުންގެ މަޢުލޫމާތު، މިނިސްޓްރީއާ ހިއްސާކޮށްފައި ވޭ


 ",,,,,
35,1,އެލްޓީ/ސެން އެލްޓީ,,އެފަދަ ދަރިވަރުންގެ ލިސްޓެއް,"1- ސްކޫލަށް ހާޒިރުވުމުގައި ކޮންސިސްޓެންސީ ނުހުންނަ ދަރިވަރުންގެ މަޢުލޫމާތު ކްލާސް ޓީޗަރުން ސްކޫލުގެ ވެރިންނަށް ފޯރުކޮށްދޭ
",ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން ދެނެގަތުން,1.3.1.1,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
36,1,އެލްޓީ/ސެން އެލްޓީ,,އެެފަދަ ދަރިވަރުންގެ ލިސްޓު ސަބަބާއެކު,"2- ޚާއްޞަ ހާލަތްތައް ދިމާވެގެން ސްކޫލަށް ހާޒިރުނުވާ ދަރިވަރުން، ސަބަބު އެނގޭނެހެން ދެނެގަނޭ
",,,,,
37,1,އެލްޓީ/ސެން އެލްޓީ,,އެެފަދަ ދަރިވަރުންގެ ހާޒިރީ,"3- ޚާއްޞަ ހާލަތްތައް ދިމާވެގެން  ސްކޫލަށް ހާޒިރުނުވާ ދަރިވަރުންގެ ރެކޯޑުތައް ބަލަހައްޓާ
",,,,,
38,1,އެލްޓީ/ސެން އެލްޓީ,,އެކަން އެނގޭ ލިޔުމެއް/ ޔައުމިއްޔާ/ޕީޕީޓީ,1- ދިމާވާ ހާލަތެއްގެ ސަބަބުން ސްކޫލަށް ހާޒިރުނުވެވޭ ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ ގޮތެއް ހަމަޖައްސައިފައި ވޭ, ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1.3.1.2,,,
39,1,އެލްޓީ/ސެން އެލްޓީ,,ފޯރުކޮށްދޭކަން އެނގޭ ހެއްކެއް/ ނަގައިދިން ފިލާވަޅު އެނގޭ ލިޔުމެއް ,2- ދާއިމީ ނުކުޅެދުންތެރިކަމެއްގެ ސަބަބުން ސްކޫލަށް ހާޒިރުނުވެވޭ ދަރިވަރުންނަށް ތަޢުލީމު ފޯރުކޮށްދޭ ,,,,,
