,,,,,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް (އުނގަންނައިދިނުމާ ގުޅޭ ޒިންމާތައް),,,,,,,,,,,,,
,,,,,ދާއިރާ 2: ދަރިވަރުން ބައިވެރިކޮށްގެން އުނގެނުމާއި އުނގަންނައިދިނުން –  (ވަކި ވަކި ލީޑިންގ ޓީޗަރުންގެ ފަރާތުން ހޯދުމަށް),,,,,,,,,,,,,
,,,,,,,,ލީޑިންގ ޓީޗަރ - ޝީޓް 1,,,,,,,,,,
IndicatorCode,Average,StrandNo and Strand,SubstrandNo,Substrand,OutcomeNo,Outcomes,ބަލާނެ ލިޔެކިޔުން/Evidence,Indicators,LT1,LT2,LT3,LT4,LT5,LT6,LT7,LT8,LT9,LT10
76,,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު,2.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1.4, ސްކީމްތައް ތައްޔާރުކުރުން,ފޯމެޓް,1-  ސްކީމް ތައްޔާރުކުރުމަށް ސްކޫލުން  ފޯމެޓެއް ކަނޑައަޅައިފައި ވޭ  ,,,,,,,,,,
77,,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު,2.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1.4, ސްކީމްތައް ތައްޔާރުކުރުން,ސްކީމްތައް (ސްޓަރކަޗަރ، ހުންނަންޖެހޭ ބައިތައް، ވަގުތު ކަނޑައެޅުން),2- ސްްކީމުގައި ހިމަނަންޖެހޭ މުހިއްމު ބައިތައް ހިމަނައިފައި ވޭ,,,,,,,,,,
78,,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު,2.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1.4, ސްކީމްތައް ތައްޔާރުކުރުން,ސްކީމްތަައް,3-ހުރިހައި ގްރޭޑެއްގެ ހުރިހައި މާއްދާއެއްގެ ސްކީމްތައް ތައްޔާރުކޮށްފައި ވޭ,,,,,,,,,,
79,,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު,2.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1.5,ކޯޑިނޭޝަން ބައްދަލުވުންތައް ބޭއްވުން,އުސޫލު / ކަނޑައަޅައި ލިޔެފައިވާ ގޮތެއް,1- ކޯޑިނޭޝަން ކުރިއަށް ގެންދާނެ ގޮތެއް ސްކޫލުން ކަނޑައަޅައިފައި ވޭ,,,,,,,,,,
80,,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު,2.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1.5,ކޯޑިނޭޝަން ބައްދަލުވުންތައް ބޭއްވުން, ކޯޑިނޭޝަން މީޓިންތަކުގެ ޔައުމިއްޔާ,2- ކޯޑިނޭޝަން މީޓިންތަކުގައި ފިލާވަޅާ ގުޅޭގޮތުން ފުޅާ ދާއިރާއެއްގައި މަޝްވަރާކުރޭ,,,,,,,,,,
81,,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު,2.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1.5,ކޯޑިނޭޝަން ބައްދަލުވުންތައް ބޭއްވުން, ކޯޑިނޭޝަން މީޓިންތަކުގެ ޔައުމިއްޔާ/ހާޒިރީ/އެލްޓީ މެނުއަލް,3- ކޯޑިނޭޝަން މީޓިންތައް ހަފުތާއަކު އެއްފަހަރު ބާއްވާ,,,,,,,,,,
